neuron_id,method,x,y,cluster,d1,d2,d3,d4,d5,v,u,energy,spike_counter,io_role
12935626754,tsne,-22.366817474365234,3.5964608192443848,,2.0,0.0,6.0,3.0,3.0,-65.0,-13.0,1.0,0,internal
12935758599,tsne,-2.8856372833251953,11.319204330444336,,7.0,3.0,8.0,3.0,3.0,-65.0,-13.0,1.0,0,internal
12952013058,tsne,10.915239334106445,-6.225675582885742,,2.0,9.0,0.0,4.0,3.0,-65.0,-13.0,1.0,0,internal
12952207367,tsne,-10.35229206085205,-10.119278907775879,,7.0,0.0,3.0,4.0,3.0,-65.0,-13.0,1.0,0,internal
12952273411,tsne,-10.200671195983887,-5.480388641357422,,3.0,2.0,4.0,4.0,3.0,-65.0,-13.0,1.0,0,internal
12952339465,tsne,-4.653074264526367,-8.531654357910156,,9.0,4.0,5.0,4.0,3.0,-65.0,-13.0,1.0,0,output
12952471556,tsne,8.425638198852539,17.546619415283203,,4.0,8.0,7.0,4.0,3.0,-65.0,-13.0,1.0,0,internal
12952602884,tsne,9.50342082977295,17.057384490966797,,4.0,9.0,9.0,4.0,3.0,-65.0,-13.0,1.0,0,internal
12968855813,tsne,9.675088882446289,-5.30388069152832,,5.0,9.0,1.0,5.0,3.0,-65.0,-13.0,1.0,0,internal
12968986625,tsne,11.552997589111328,-7.803840637207031,,1.0,8.0,3.0,5.0,3.0,-65.0,-13.0,1.0,0,internal
12969116674,tsne,-10.621357917785645,-3.3426175117492676,,2.0,4.0,5.0,5.0,3.0,-65.0,-13.0,1.0,0,internal
12969183491,tsne,8.765767097473145,18.365154266357422,,3.0,9.0,6.0,5.0,3.0,-65.0,-13.0,1.0,0,internal
12969378307,tsne,-9.369537353515625,1.63111412525177,,3.0,2.0,9.0,5.0,3.0,-65.0,-13.0,1.0,0,internal
12985696263,tsne,-6.965703964233398,-13.963895797729492,,7.0,0.0,2.0,6.0,3.0,-65.0,-13.0,1.0,0,internal
12985828613,tsne,-0.3110104203224182,-4.275081157684326,,5.0,5.0,4.0,6.0,3.0,-65.0,-13.0,1.0,0,internal
12986024963,tsne,-9.268007278442383,-1.0973927974700928,,3.0,4.0,7.0,6.0,3.0,-65.0,-13.0,1.0,0,internal
12986156801,tsne,8.343198776245117,20.6700382232666,,1.0,7.0,9.0,6.0,3.0,-65.0,-13.0,1.0,0,internal
13002408453,tsne,-5.8930864334106445,-16.90178871154785,,5.0,2.0,1.0,7.0,3.0,-65.0,-13.0,1.0,0,internal
13002539015,tsne,-6.164770603179932,-13.728182792663574,,7.0,0.0,3.0,7.0,3.0,-65.0,-13.0,1.0,0,internal
13002606855,tsne,14.608187675476074,-10.000328063964844,,7.0,9.0,4.0,7.0,3.0,-65.0,-13.0,1.0,0,internal
13002801152,tsne,-11.946427345275879,-0.24246203899383545,,0.0,0.0,7.0,7.0,3.0,-65.0,-13.0,1.0,0,input
13002868997,tsne,10.865965843200684,14.337125778198242,,5.0,9.0,8.0,7.0,3.0,-65.0,-13.0,1.0,0,internal
13019185154,tsne,-10.948979377746582,-18.142475128173828,,2.0,0.0,1.0,8.0,3.0,-65.0,-13.0,1.0,0,internal
13019316231,tsne,-5.724541187286377,-14.201004028320312,,7.0,0.0,3.0,8.0,3.0,-65.0,-13.0,1.0,0,internal
13019382273,tsne,-12.150568008422852,-16.90696144104004,,1.0,2.0,4.0,8.0,3.0,-65.0,-13.0,1.0,0,internal
13019513097,tsne,-2.5287442207336426,2.587747812271118,,9.0,1.0,6.0,8.0,3.0,-65.0,-13.0,1.0,0,output
13019578886,tsne,-5.246828079223633,2.9777801036834717,,6.0,2.0,7.0,8.0,3.0,-65.0,-13.0,1.0,0,internal
13019709448,tsne,-3.9015355110168457,2.3466835021972656,,8.0,0.0,9.0,8.0,3.0,-65.0,-13.0,1.0,0,internal
13035963656,tsne,5.261410236358643,-8.36762523651123,,8.0,5.0,1.0,9.0,3.0,-65.0,-13.0,1.0,0,internal
13036095750,tsne,14.020049095153809,-9.995808601379395,,6.0,9.0,3.0,9.0,3.0,-65.0,-13.0,1.0,0,internal
13036226049,tsne,10.762459754943848,-13.69495964050293,,1.0,6.0,5.0,9.0,3.0,-65.0,-13.0,1.0,0,internal
13036356612,tsne,-6.886746883392334,1.9555789232254028,,4.0,4.0,7.0,9.0,3.0,-65.0,-13.0,1.0,0,internal
13036487945,tsne,-0.1676885485649109,5.143992900848389,,9.0,5.0,9.0,9.0,3.0,-65.0,-13.0,1.0,0,output
17179936256,tsne,-16.513280868530273,-3.1978166103363037,,0.0,6.0,1.0,0.0,4.0,-65.0,-13.0,1.0,0,input
